TOTAL: 3543311
frames, misses, miss rate 
795,619909,0.174952
796,619652,0.174879
797,619396,0.174807
798,619149,0.174737
799,618873,0.174660
800,618627,0.174590
801,618371,0.174518
802,618137,0.174452
803,617922,0.174391
804,617689,0.174325
805,617437,0.174254
806,617194,0.174186
807,616917,0.174107
808,616683,0.174041
809,616448,0.173975
810,616201,0.173905
811,615961,0.173838
812,615709,0.173767
813,615466,0.173698
814,615193,0.173621
815,614945,0.173551
816,614688,0.173478
817,614424,0.173404
818,614143,0.173325
819,613875,0.173249
820,613623,0.173178
821,613377,0.173108
822,613119,0.173036
823,612866,0.172964
824,612618,0.172894
825,612358,0.172821
826,612096,0.172747
827,611831,0.172672
828,611547,0.172592
829,611273,0.172515
830,611007,0.172440
831,610722,0.172359
832,610472,0.172289
833,610243,0.172224
834,609991,0.172153
835,609750,0.172085
836,609481,0.172009
837,609240,0.171941
838,608994,0.171871
839,608744,0.171801
840,608505,0.171733
841,608260,0.171664
842,608004,0.171592
843,607746,0.171519
844,607487,0.171446
845,607220,0.171371
846,606918,0.171286
847,606676,0.171217
848,606406,0.171141
849,606134,0.171064
850,605872,0.170990
851,605625,0.170921
852,605391,0.170855
853,605127,0.170780
854,604901,0.170716
855,604654,0.170647
856,604444,0.170587
857,604242,0.170530
858,604010,0.170465
859,603781,0.170400
860,603527,0.170329
861,603290,0.170262
862,603045,0.170193
863,602797,0.170123
864,602561,0.170056
865,602317,0.169987
866,602108,0.169928
867,601905,0.169871
868,601712,0.169816
869,601494,0.169755
870,601285,0.169696
871,601091,0.169641
872,600867,0.169578
873,600647,0.169516
874,600434,0.169456
875,600213,0.169393
876,600001,0.169333
877,599790,0.169274
878,599559,0.169209
879,599347,0.169149
880,599145,0.169092
881,598924,0.169029
882,598710,0.168969
883,598509,0.168912
884,598333,0.168863
885,598123,0.168803
886,597933,0.168750
887,597705,0.168685
888,597508,0.168630
889,597266,0.168562
890,597053,0.168501
891,596832,0.168439
892,596625,0.168381
893,596419,0.168323
894,596179,0.168255
895,595945,0.168189
896,595725,0.168127
897,595489,0.168060
898,595256,0.167994
899,595030,0.167931
900,594813,0.167869
901,594596,0.167808
902,594359,0.167741
903,594101,0.167668
904,593854,0.167599
905,593629,0.167535
906,593416,0.167475
907,593212,0.167417
908,592974,0.167350
909,592748,0.167286
910,592537,0.167227
911,592327,0.167168
912,592120,0.167109
913,591922,0.167053
914,591683,0.166986
915,591446,0.166919
916,591209,0.166852
917,590979,0.166787
918,590715,0.166713
919,590499,0.166652
920,590291,0.166593
921,590102,0.166540
922,589918,0.166488
923,589724,0.166433
924,589494,0.166368
925,589311,0.166316
926,589128,0.166265
927,588947,0.166214
928,588740,0.166155
929,588506,0.166089
930,588309,0.166034
931,588112,0.165978
932,587900,0.165918
933,587678,0.165856
934,587480,0.165800
935,587277,0.165742
936,587049,0.165678
937,586863,0.165626
938,586629,0.165560
939,586409,0.165497
940,586210,0.165441
941,586008,0.165384
942,585799,0.165325
943,585609,0.165272
944,585399,0.165212
945,585176,0.165149
946,584971,0.165092
947,584778,0.165037
948,584597,0.164986
949,584403,0.164931
950,584223,0.164881
951,584028,0.164825
952,583838,0.164772
953,583661,0.164722
954,583469,0.164668
955,583286,0.164616
956,583101,0.164564
957,582910,0.164510
958,582704,0.164452
959,582533,0.164404
960,582335,0.164348
961,582129,0.164290
962,581930,0.164233
963,581722,0.164175
964,581538,0.164123
965,581341,0.164067
966,581141,0.164011
967,580943,0.163955
968,580731,0.163895
969,580535,0.163840
970,580368,0.163793
971,580164,0.163735
972,579986,0.163685
973,579806,0.163634
974,579613,0.163579
975,579469,0.163539
976,579271,0.163483
977,579077,0.163428
978,578917,0.163383
979,578716,0.163326
980,578510,0.163268
981,578306,0.163211
982,578116,0.163157
983,577946,0.163109
984,577766,0.163058
985,577589,0.163008
986,577387,0.162951
987,577195,0.162897
988,577006,0.162844
989,576814,0.162790
990,576634,0.162739
991,576451,0.162687
992,576253,0.162631
993,576075,0.162581
994,575890,0.162529
995,575709,0.162478
996,575522,0.162425
997,575347,0.162376
998,575169,0.162325
999,574994,0.162276
1000,574811,0.162224
1001,574644,0.162177
1002,574465,0.162127
1003,574263,0.162070
1004,574071,0.162015
1005,573868,0.161958
1006,573701,0.161911
1007,573491,0.161852
1008,573302,0.161798
1009,573110,0.161744
1010,572930,0.161693
1011,572743,0.161641
1012,572567,0.161591
